trigram,Folk Fairy Tales (n),Folk Fairy Tales (%),GPT-5 (n),GPT-5 (%),GPT-4o (n),GPT-4o (%)
es war einmal,54,44.6,43,43.0,53,53.0
es waren einmal,5,4.1,57,57.0,47,47.0
es war ein,6,5.0,0,0.0,0,0.0
es lebte einmal,3,2.5,0,0.0,0,0.0
vor alten zeiten,2,1.7,0,0.0,0,0.0
es war eine,2,1.7,0,0.0,0,0.0
es hatte ein,2,1.7,0,0.0,0,0.0
es war vor,1,0.8,0,0.0,0,0.0
in der schweiz,1,0.8,0,0.0,0,0.0
ein schneider und,1,0.8,0,0.0,0,0.0
ein mann und,1,0.8,0,0.0,0,0.0
es jagte einmal,1,0.8,0,0.0,0,0.0
in einem lande,1,0.8,0,0.0,0,0.0
vor einem großen,1,0.8,0,0.0,0,0.0
ein armer mann,1,0.8,0,0.0,0,0.0
es fuhr einmal,1,0.8,0,0.0,0,0.0
ein bauersmann hatte,1,0.8,0,0.0,0,0.0
sage niemand daß,1,0.8,0,0.0,0,0.0
drei feldscherer reisten,1,0.8,0,0.0,0,0.0
drei frauen waren,1,0.8,0,0.0,0,0.0
ein müller war,1,0.8,0,0.0,0,0.0
ein brüderchen und,1,0.8,0,0.0,0,0.0
eine arme witwe,1,0.8,0,0.0,0,0.0
ein vater hatte,1,0.8,0,0.0,0,0.0
berg und thal,1,0.8,0,0.0,0,0.0
eine frau ging,1,0.8,0,0.0,0,0.0
es war in,1,0.8,0,0.0,0,0.0
alte großväter und,1,0.8,0,0.0,0,0.0
in einer großen,1,0.8,0,0.0,0,0.0
in alten zeiten,1,0.8,0,0.0,0,0.0
einem reichen manne,1,0.8,0,0.0,0,0.0
zur zeit wo,1,0.8,0,0.0,0,0.0
es ist nun,1,0.8,0,0.0,0,0.0
eine wittwe hatte,1,0.8,0,0.0,0,0.0
es hatten einmal,1,0.8,0,0.0,0,0.0
vor zeiten lebte,1,0.8,0,0.0,0,0.0
in einer mühle,1,0.8,0,0.0,0,0.0
ein könig ritt,1,0.8,0,0.0,0,0.0
ein abgedankter soldat,1,0.8,0,0.0,0,0.0
einstmals ging ein,1,0.8,0,0.0,0,0.0
ein vater ließ,1,0.8,0,0.0,0,0.0
eines abends ging,1,0.8,0,0.0,0,0.0
brüderchen nahm sein,1,0.8,0,0.0,0,0.0
ein armer holzhauer,1,0.8,0,0.0,0,0.0
eine nonne ein,1,0.8,0,0.0,0,0.0
vor zeiten war,1,0.8,0,0.0,0,0.0
zwei königssöhne gingen,1,0.8,0,0.0,0,0.0
es waren drei,1,0.8,0,0.0,0,0.0
im städtlein jüterbogk,1,0.8,0,0.0,0,0.0
ein kaufmann der,1,0.8,0,0.0,0,0.0
ein mann hatte,1,0.8,0,0.0,0,0.0
ein schäfer hinterließ,1,0.8,0,0.0,0,0.0
ein schneider hatte,1,0.8,0,0.0,0,0.0
es sind einmal,1,0.8,0,0.0,0,0.0
