corpus;doc;direct_speech_char_percent;chars_in_quotes;chars_total
Folk Fairy Tales;Bechstein_Aschenbrödel_510.txt;7,57000000;421;5558
Folk Fairy Tales;Bechstein_Das Dornröschen_410.txt;3,75000000;257;6855
Folk Fairy Tales;Bechstein_Das Dukaten-Angele_571.txt;24,76000000;3580;14456
Folk Fairy Tales;Bechstein_Das Märchen vom Ritter Blaubart_312.txt;21,79000000;1245;5714
Folk Fairy Tales;Bechstein_Das Natterkrönlein_672.txt;19,93000000;1462;7336
Folk Fairy Tales;Bechstein_Das Nußzweiglein_425.txt;17,61000000;1430;8119
Folk Fairy Tales;Bechstein_Das Rotkäppchen_333.txt;35,78000000;2951;8247
Folk Fairy Tales;Bechstein_Das winzige, winzige Männlein_301.txt;25,40000000;1893;7454
Folk Fairy Tales;Bechstein_Der beherzte Flötenspieler_326.txt;8,77000000;569;6490
Folk Fairy Tales;Bechstein_Der Hasenhüter und die Königstochte_570.txt;20,45000000;1495;7312
Folk Fairy Tales;Bechstein_Der kleine Däumling_327.txt;5,04000000;512;10152
Folk Fairy Tales;Bechstein_Der König im Bade_569.txt;31,62000000;2936;9285
Folk Fairy Tales;Bechstein_Der Mann ohne Herz_302.txt;27,71000000;3342;12060
Folk Fairy Tales;Bechstein_Der Mönch und das Vögelein_471.txt;12,77000000;407;3186
Folk Fairy Tales;Bechstein_Der Müller und die Nixe_316.txt;1,15000000;96;8348
Folk Fairy Tales;Bechstein_Der Schmied von Jüterbogk_330.txt;4,07000000;229;5620
Folk Fairy Tales;Bechstein_Der starke Gottlieb_650.txt;28,86000000;5537;19183
Folk Fairy Tales;Bechstein_Der Teufel ist los oder Das Märlein_331.txt;21,66000000;2176;10046
Folk Fairy Tales;Bechstein_Der Wacholderbaum_720.txt;14,99000000;799;5331
Folk Fairy Tales;Bechstein_Der weiße Wolf_425.txt;32,52000000;2449;7531
Folk Fairy Tales;Bechstein_Der Zauber-Wettkampf_325.txt;11,34000000;968;8533
Folk Fairy Tales;Bechstein_Des kleinen Hirten Glückstraum_725.txt;23,19000000;2805;12098
Folk Fairy Tales;Bechstein_Die drei Gaben_736.txt;18,51000000;665;3593
Folk Fairy Tales;Bechstein_Die drei Hunde_300.txt;16,99000000;1480;8711
Folk Fairy Tales;Bechstein_Die Knaben mit den goldnen Sternlein_313.txt;7,71000000;551;7145
Folk Fairy Tales;Bechstein_Die Nonne, der Bergmann und der Schmied_301.txt;2,62000000;173;6609
Folk Fairy Tales;Bechstein_Die sieben Schwanen_451.txt;6,91000000;795;11512
Folk Fairy Tales;Bechstein_Goldhähnchen_567.txt;5,93000000;296;4989
Folk Fairy Tales;Bechstein_Oda und die Schlange_425_440.txt;44,33000000;1160;2617
Folk Fairy Tales;Bechstein_Schab den Rüssel_361.txt;71,99000000;8722;12115
Folk Fairy Tales;Bechstein_Schneeweißchen_709.txt;19,28000000;3260;16907
Folk Fairy Tales;Bechstein_Zitterinchen_403.txt;10,49000000;692;6597
Folk Fairy Tales;Grimm_Allerleirauh_510B.txt;24,67000000;2835;11492
Folk Fairy Tales;Grimm_Aschenputtel_510A.txt;20,41000000;2888;14152
Folk Fairy Tales;Grimm_Brüderchen und Schwesterchen_450.txt;25,44000000;3311;13014
Folk Fairy Tales;Grimm_Das blaue Licht_562.txt;33,98000000;3159;9298
Folk Fairy Tales;Grimm_Das Eselein_430.txt;34,01000000;2272;6681
Folk Fairy Tales;Grimm_Das Lämmchen und Fischchen_350A.txt;23,05000000;725;3145
Folk Fairy Tales;Grimm_Das Meerhäschen_554.txt;18,00000000;1159;6439
Folk Fairy Tales;Grimm_Das Mädchen ohne Hände_706.txt;52,97000000;6523;12315
Folk Fairy Tales;Grimm_Das singende springende Löweneckerchen_425A.txt;33,51000000;4141;12356
Folk Fairy Tales;Grimm_Das Waldhaus_431.txt;39,58000000;3907;9870
Folk Fairy Tales;Grimm_Das Wasser des Lebens_551.txt;62,02000000;7366;11877
Folk Fairy Tales;Grimm_Daumerlings Wanderschaft_700.txt;18,73000000;1614;8615
Folk Fairy Tales;Grimm_Daumesdick_700.txt;33,20000000;3933;11845
Folk Fairy Tales;Grimm_Der arme Müllerbursch und das Kätzchen_402.txt;20,81000000;1481;7116
Folk Fairy Tales;Grimm_Der Bärenhäuter_361.txt;28,44000000;2987;10504
Folk Fairy Tales;Grimm_Der Eisenhans_502.txt;31,75000000;5421;17072
Folk Fairy Tales;Grimm_Der Eisenofen_425A.txt;21,81000000;2495;11438
Folk Fairy Tales;Grimm_Der Froschkönig oder der eiserne Heinrich_440.txt;32,39000000;2378;7342
Folk Fairy Tales;Grimm_Der Geist im Glas_331.txt;47,21000000;4441;9407
Folk Fairy Tales;Grimm_Der gelernte Jäger_304.txt;15,95000000;1880;11790
Folk Fairy Tales;Grimm_Der Gevatter Tod_332A.txt;39,72000000;2489;6266
Folk Fairy Tales;Grimm_Der gläserne Sarg_410_709.txt;43,20000000;5701;13196
Folk Fairy Tales;Grimm_Der goldene Vogel_550.txt;34,67000000;5620;16210
Folk Fairy Tales;Grimm_Der Herr Gevatter_332.txt;34,29000000;1101;3211
Folk Fairy Tales;Grimm_Der Jude im Dornn_592.txt;51,06000000;4751;9305
Folk Fairy Tales;Grimm_Der junge Riese_650A.txt;21,99000000;3480;15825
Folk Fairy Tales;Grimm_Der Krautesel_563.txt;33,30000000;4646;13950
Folk Fairy Tales;Grimm_Der König vom goldenen Berg_401.txt;25,01000000;3177;12702
Folk Fairy Tales;Grimm_Der Königssohn, der sich vor nichts fürchtet_590.txt;22,98000000;2516;10949
Folk Fairy Tales;Grimm_Der Liebste Roland_313.txt;19,00000000;1464;7705
Folk Fairy Tales;Grimm_Der Rabe_401.txt;26,37000000;2987;11327
Folk Fairy Tales;Grimm_Der Ranzen, das Hütlein und das Hörnlein_566.txt;29,78000000;3689;12387
Folk Fairy Tales;Grimm_Der starke Hans_650A.txt;14,48000000;2047;14141
Folk Fairy Tales;Grimm_Der süße Brei_565.txt;5,10000000;62;1215
Folk Fairy Tales;Grimm_Der Teufel mit den drei goldenen Haaren_461.txt;42,84000000;5958;13906
Folk Fairy Tales;Grimm_Der treue Johannes_516.txt;42,44000000;6952;16379
Folk Fairy Tales;Grimm_Der Trommler_400.txt;40,91000000;8179;19991
Folk Fairy Tales;Grimm_Des Teufels rußiger Bruder_475.txt;31,38000000;2064;6577
Folk Fairy Tales;Grimm_Die Alte im Walde_442.txt;31,33000000;1509;4816
Folk Fairy Tales;Grimm_Die beiden Wanderer_613.txt;55,02000000;12150;22084
Folk Fairy Tales;Grimm_Die Bienenkönigin_554.txt;4,50000000;193;4292
Folk Fairy Tales;Grimm_Die Boten des Todes_335.txt;53,16000000;1759;3309
Folk Fairy Tales;Grimm_Die drei Brüder_654.txt;18,05000000;628;3480
Folk Fairy Tales;Grimm_Die drei Federn_545A.txt;18,28000000;1004;5493
Folk Fairy Tales;Grimm_Die drei Feldscherer_660.txt;17,90000000;968;5407
Folk Fairy Tales;Grimm_Die drei Glückskinder_707.txt;19,22000000;1010;5256
Folk Fairy Tales;Grimm_Die drei Handwerksburschen_360.txt;37,56000000;2295;6110
Folk Fairy Tales;Grimm_Die drei Männlein im Walde_403.txt;28,47000000;3046;10698
Folk Fairy Tales;Grimm_Die drei Schlangenblätter_303.txt;19,42000000;1486;7650
Folk Fairy Tales;Grimm_Die drei Spinnerinnen_501.txt;30,80000000;1469;4769
Folk Fairy Tales;Grimm_Die drei Sprachen_671.txt;33,64000000;1682;5000
Folk Fairy Tales;Grimm_Die Geschenke des kleinen Volkes_503.txt;7,49000000;384;5128
Folk Fairy Tales;Grimm_Die goldene Gans_571.txt;23,64000000;1964;8309
Folk Fairy Tales;Grimm_Die Goldkinder_707.txt;35,57000000;3606;10138
Folk Fairy Tales;Grimm_Die Gänsemagd_533.txt;25,27000000;2898;11469
